nigp_class_3digit,canonical_description,distinct_5digit,distinct_10digit,row_count,source
918,RUNWAY/ROADWAY WEATHER INFORMATION SYSTEMS -FORECASTING SERVICES AT O'HARE INTERNATIONAL AIRPORT,2,10,317,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
920,NETWORK SERVICES - ACTIVE SECURITY ASSESSMENT,2,3,12,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
926,MONTHLY SERVICE FEE - SERVICE AREA 1,2,9,144,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
928,"VEHICLE REPAIRS - LABOR TO PERFORM BODY WORK/PAINTING SERVICES FOR AUTOMOBILES IN CONTRACTOR'S SHOP, REGULAR BUSINESS HOURS",7,64,5706,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
929,"WINDSHIELD AND WINDOW GLASS REPLACEMENT, REPAIR OF GLASS - REPAIR OF REPLACEMENT OF AUTOMOTIVE GLASS - LABOR RATE",11,63,1179,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
931,FURNITURE SERVICE - THE HON COMPANY - LABOR,6,91,747,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
934,"REPAIR, IRRIGATION SYSTEM (CITY OF CHICAGO) - REPLACE IRRIGATION POP-UP  HEAD, 12 IN.   GROUP B - CENTRAL REGION",3,91,368,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
936,"INSPECTION AND CERTIFICATION SERVICES, FIRE EXTINGUISHER (ANNUAL), TO INCLUDE ALL CERTIFICATION TAGS, SEALS, AND CLIPS-PRESSURIZED DRY CHEMICAL TYPE RANGING FROM 2.5 TO 20 LBS",17,132,3650,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
938,"GASES, MEDICAL - MAINTENANCE, DELIVERY, AND TESTING GAS CYLINDERS - CYLINDER CAP REPLACEMENT",5,12,1195,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
939,"MAINTENANCE, TESTING, REPAIR AND PURCHASE OF AUDIO / VISUAL SYSTEM AND COMPONENTS - LABOR RATE FOR AUDIO / VISUAL ENGINEER, STRAIGHT TIME HOURLY RATE, PER PERSON, MONDAY - FRIDAY, THE FIRST EIGHT (8) HOURS WORKED 6:00 AM TO 6:00 PM",2,8,181,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
941,"TESTING EQUIPMENT - METER TESTING EQUIPMENT - WATER METER TEST BENCH (5/8"" TO 2"" METER)",1,2,8,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
948,"MEDICAL (PHYSICAL) EXAMINATION SERVICES, COMPREHENSIVE. THIS SERVICE - MALE, (POLICE DEPARTMENT).",1,2,879,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
952,COUNSELING SERVICES - EMERGENCY TELEPHONE AND REFERRALS AFTER HOURS - BEHAVIORAL HEALTH CRISIS INTERVENTION AFTER HOURS ANSWERING SERVICES.,1,1,6,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
954,LAUNDRY SERVICE FOR CLOTHING - INSPECT / CLEAN / REPAIR SERVICE FOR BUNKER GEAR,1,1,3,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
958,MANAGEMENT SERVICE - MANAGEMENT FEE,1,2,318,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
959,"MAINTENANCE AND REPAIR OF TUGBOATS (INCL. DOCKING) - TUGBOAT REPAIR, MAINTENANCE AND DRY-DOCKING MISC. SUPPLIES AND SERVICES",1,1,13,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
961,WEATHER FORECASTING SERVICE - METEOROLOGICAL SERVICES (FOR CDA),4,21,608,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
962,STORAGE OF CITY RECORDS - RECORDS STORAGE SERVICES-REGULAR MONTHLY CONTAINERS STORAGE- STORE RECORDS AT THE CONTRACTOR FACILITY,15,165,3667,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
964,SECURITY GUARDS - UNARMED SECURITY OFFICER,5,85,6426,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
966,"PRINTING, SILK SCREEN - EMBROIDERY, 5,001 STITCHES TO 10,000 STITCHES PRICED PER EACH EMBROIDERY",3,22,1351,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
968,DISPOSAL SERVICES - 2 CU. YD. STEEL DUMPSTER- COST OF MONTHLY SERVICE PER PICK-UP,11,264,14625,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
972,TASTE OF CHICAGO FOOD SERVICE EQUIPMENT RENTAL - ELECTRIC FOOD CABINET 16 FOOD PANS,1,2,5,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
975,"RENTAL OF TRAFFIC CONTROL BARRICADES, TRAFFIC CONES, WARNING LIGHTS, - BARRICADE, TYPE III, CONSISTING OF 2 TELSPAR POSTS 5-6 FT. HIGH AND 3 HORIZONTAL BARS 6 IN. X 8-10 FT. LONG, WITH AMBER FLASHING LIGHTS. RENTAL PER UNIT, PER DAY.",16,345,73116,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
977,"REMOVAL OF WASTE FROM PORTABLE TOILETS - THIS ITEM SHALL CONSIST OF - PER TOILET, PER WEEK",8,152,6461,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
979,REFRIGERATOR AND FREEZER RENTALS - 16 CUFT REFRIGERATOR W/FREEZER,1,5,9,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
981,"RENTAL OF PORTABLE COMPRESSORS, TRAILER MOUNTED - 185 CFM",12,207,4516,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
983,"RENTAL OF TABLE LINENS - CLASSIC NAPKINS, BANQUET SIZE,  ALL STANDARD COLORS",1,24,481,"EY raw data file (City of Chicago purchasing extract, 2002-2025)"
